Rank	Player	Land	Days	Score
1	サンドロ	死者は土に還れ	75	200
2	アストラル	一揆	100	190
3	オリス	屍に埋もれて	125	180
4	ハート卿	混沌の王国	150	170
5	アラマール	赤いクローバー	175	160
6	スティグ	エメラルド諸島	200	150
7	ヨグ	汝の隣人を討て	250	140
8	アジット	五つの輪	500	130
9	イオナ	ザ マンデート オブ ヘブン	750	120
10	テイザー	神話と伝説	1000	100
11	Your Name	マップをプレイしてください	2000	1
Rank	Player	Campaign	Days	
1	ファフナー	父に捧げし歌	500	1000
2	グレッティン	国王陛下に栄えあれ	550	875
3	グンドゥラ	不満の種子	600	750
4	ドラコン	解放	650	625
5	イングハム	ダンジョンズ＆デビルズ	700	500
6	タミーカ	女王陛下に栄えあれ	750	375
7	ニムス	不満の種子	800	250
8	マルコム	解放	850	225
9	ソーシャ	不満の種子	900	200
10	ザイダール	国王陛下に栄えあれ	1000	175
11	Your Name	マップをプレイしてください	2000	1
