Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
パイクマン	パイクマン	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50		0
ハルバーディア	ハルバーディア	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30		0
アーチャー	アーチャー	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY
マークスマン	マークスマン	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	射撃2回	const_two_attacks | SHOOTING_ARMY
グリフォン	グリフォン	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	反撃2回	DOUBLE_WIDE | FLYING_ARMY
ロイヤルグリフォン	ロイヤルグリフォン	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	反撃無制限	DOUBLE_WIDE|FLYING_ARMY
ソードマン	ソードマン	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
クルセイダー	クルセイダー	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	攻撃2回	const_two_attacks
モンク	モンク	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY
ゼロト	ゼロト	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	白兵戦ペナルティーなし	SHOOTING_ARMY | const_no_melee_penalty
キャバリア	キャバリア	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	突撃ボーナス	DOUBLE_WIDE | const_jousting
チャンピオン	チャンピオン	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	突撃ボーナス	DOUBLE_WIDE | const_jousting
エンジェル	エンジェル	0	0	0	0	0	0	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	デビルを憎んでいる	FLYING_ARMY | const_raises_morale | KING_2
アークエンジェル	アークエンジェル	0	0	0	0	0	0	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	"士気＋1。デビルを憎んでいる
友軍を蘇らせることができる"	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
ケンタウロス	ケンタウロス	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE
アーマーケンタウロス	アーマーケンタウロス	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE
ドワーフ	ドワーフ	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	魔法抵抗力20％	0
バトルドワーフ	バトルドワーフ	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	魔法抵抗力40％	0
ウッドエルフ	ウッドエルフ	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY
グランドエルフ	グランドエルフ	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	射撃2回	SHOOTING_ARMY | const_two_attacks
ペガサス	ペガサス	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	魔法の緩和	DOUBLE_WIDE | FLYING_ARMY
シルバーペガサス	シルバーペガサス	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	魔法の緩和	DOUBLE_WIDE | FLYING_ARMY
デンドロイドガード	デンドロイドガード	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	敵をその場に固定	0
デンドロイドナイト	デンドロイドナイト	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	敵をその場に固定	0
