槍兵詰所	パイクマンを徴兵できる。
弓兵の塔	アーチャーを徴兵できる。
グリフォンの塔	グリフォンを徴兵できる。
兵舎	ソードマンを徴兵できる。
修道院	モンクを徴兵できる。
練兵場	キャバリアを徴兵できる。
栄光の門	エンジェルを徴兵できる。
槍兵詰所(UP)	ハルバーディアを徴兵できる。
弓兵の塔(UP)	マークスマンを徴兵できる。
グリフォンの塔(UP)	ロイヤルグリフォンを徴兵できる。
兵舎(UP)	クルセイダーを徴兵できる。
修道院(UP)	ゼロトを徴兵できる。
練兵場(UP)	チャンピオンを徴兵できる。
栄光の門(UP)	アークエンジェルを徴兵できる。
ケンタウロスの厩舎	ケンタウロスを徴兵できる。
コテージ	ドワーフを徴兵できる。
エルフの家	ウッドエルフを徴兵できる。
魔法の噴水	ペガサスを徴兵できる。
デンドロイドの並木	デンドロイドガードを徴兵できる。
ユニコーンの草原	ユニコーンを徴兵できる。
ドラゴンの岩山	グリーンドラゴンを徴兵できる。
ケンタウロスの厩舎(UP)	アーマーケンタウロスを徴兵できる。
コテージ(UP)	バトルドワーフを徴兵できる。
エルフの家(UP)	グランドエルフを徴兵できる。
魔法の噴水(UP)	シルバーペガサスを徴兵できる。
デンドロイドの並木(UP)	デンドロイドナイトを徴兵できる。
ユニコーンの草原(UP)	ウォーユニコーンを徴兵できる。
ドラゴンの岩山(UP)	ゴールドドラゴンを徴兵できる。
工房	グレムリンを徴兵できる。
バルコニー	ストーンガーゴイルを徴兵できる。
ゴーレム工場	ストーンゴーレムを徴兵できる。
魔道師の塔	メイジを徴兵できる。
願いの祭壇	ジンを徴兵できる。
黄金のパビリオン	ナーガを徴兵できる。
雲の神殿	ジャイアントを徴兵できる。
工房(UP)	マスターグレムリンを徴兵できる。
バルコニー(UP)	ブラックガーゴイルを徴兵できる。
ゴーレム工場(UP)	アイアンゴーレムを徴兵できる。
魔道師の塔(UP)	アークメイジを徴兵できる。
願いの祭壇(UP)	マスタージンを徴兵できる。
黄金のパビリオン(UP)	ナーガクイーンを徴兵できる。
雲の神殿(UP)	タイタンを徴兵できる。
インプの坩堝	インプを徴兵できる。
罪人の殿堂	ゴッグを徴兵できる。
犬舎	ヘルハウンドを徴兵できる。
魔神門	デーモンを徴兵できる。
奈落の穴	ピットフィーンドを徴兵できる。
炎の湖	イフリートを徴兵できる。
忘却宮	デビルを徴兵できる。
インプの坩堝(UP)	ファミリアを徴兵できる。
罪人の殿堂(UP)	マゴッグを徴兵できる。
犬舎(UP)	ケルベロスを徴兵できる。
魔神門(UP)	ホーンドデーモンを徴兵できる。
奈落の穴(UP)	ピットロードを徴兵できる。
炎の湖(UP)	イフリートスルタンを徴兵できる。
忘却宮(UP)	アークデビルを徴兵できる。
呪われた神殿	スケルトンを徴兵できる。
墓場	ウォーキングデッドを徴兵できる。
魂の牢獄	ワイトを徴兵できる。
邸宅	ヴァンパイアを徴兵できる。
霊廟	リッチを徴兵できる。
闇の殿堂	ブラックナイトを徴兵できる。
竜骨堂	ボーンドラゴンを徴兵できる。
呪われた神殿(UP)	スケルトンウォリアーを徴兵できる。
墓場(UP)	ゾンビを徴兵できる。
魂の牢獄(UP)	レイスを徴兵できる。
邸宅(UP)	ヴァンパイアロードを徴兵できる。
霊廟(UP)	パワーリッチを徴兵できる。
闇の殿堂(UP)	ドレッドナイトを徴兵できる。
竜骨堂(UP)	ゴーストドラゴンを徴兵できる。
繁殖場	トログロダイトを徴兵できる。
ハーピーの巣	ハーピーを徴兵できる。
百目の塔	ビホルダーを徴兵できる。
声なき声の聖堂	メデューサを徴兵できる｡                                                  
迷宮	ミノタウロスを徴兵できる。
マンティコアの巣	マンティコアを徴兵できる。
ドラゴンの洞窟	レッドドラゴンを徴兵できる。
繁殖場(UP)	トログロダイトハイを徴兵できる。
ハーピーの巣(UP)	ハーピーハッグを徴兵できる。
百目の塔(UP)	イーヴィルアイを徴兵できる。
声なき声の聖堂(UP)	メデューサクイーンを徴兵できる。                                        
迷宮(UP)	ミノタウロスキングを徴兵できる。
マンティコアの巣(UP)	スコルピコアを徴兵できる。
ドラゴンの洞窟(UP)	ブラックドラゴンを徴兵できる。
ゴブリンの兵舎	ゴブリンを徴兵できる。
狼の囲い場	ウルフライダーを徴兵できる。
オークの塔	オークを徴兵できる。
オーガの砦	オーガを徴兵できる。
崖の巣	ロックを徴兵できる。
サイクロプスの洞窟	サイクロプスを徴兵できる。
ベヒモスの巣	ベヒモスを徴兵できる。
ゴブリンの兵舎(UP)	ホブゴブリンを徴兵できる。
狼の囲い場(UP)	ウルフレイダーを徴兵できる。
オークの塔(UP)	オークチーフテンを徴兵できる。
オーガの砦(UP)	オーガメイジを徴兵できる。
崖の巣(UP)	サンダーバードを徴兵できる。
サイクロプスの洞窟(UP)	サイクロプスキングを徴兵できる。
ベヒモスの巣(UP)	エンシャントベヒモスを徴兵できる。
ノール小屋	ノールを徴兵できる。
リザードマンの巣	リザードマンを徴兵できる。
サーペントフライの巣	サーペントフライを徴兵できる。
バシリスクの巣	バシリスクを徴兵できる。
ゴーゴンの巣	ゴーゴンを徴兵できる。
ワイバーンの巣	ワイバーンを徴兵できる。
ヒドラの沼	ヒドラを徴兵できる。
ノール小屋(UP)	ノールマローダーを徴兵できる。
リザードマンの巣(UP)	リザードウォリアーを徴兵できる。
サーペントフライの巣(UP)	ドラゴンフライを徴兵できる。
バシリスクの巣(UP)	グレーターバシリスクを徴兵できる。
ゴーゴンの巣(UP)	マイティーゴーゴンを徴兵できる。
ワイバーンの巣(UP)	ワイバーンモナークを徴兵できる。
ヒドラの沼(UP)	ケイオスヒドラを徴兵できる。
魔法のランタン	ピクシーを徴兵できる。
風の祭壇	エアエレメントを徴兵できる。
水の祭壇	ウォーターエレメントを徴兵できる。
炎の祭壇	ファイヤーエレメントを徴兵できる。
大地の祭壇	アースエレメントを徴兵できる。
思考の祭壇	サイキックエレメントを徴兵できる。
蓬莱山	ファイヤーバードを徴兵できる。
魔法のランタン(UP)	スプライトを徴兵できる。
風の祭壇(UP)	ストームエレメントを徴兵できる。
水の祭壇(UP)	アイスエレメントを徴兵できる。
炎の祭壇(UP)	エネルギーエレメントを徴兵できる。
大地の祭壇(UP)	マグマエレメントを徴兵できる。
思考の祭壇(UP)	マジックエレメントを徴兵できる。
蓬莱山(UP)	フェニックスを徴兵できる。
レベル1クリーチャー	レベル1クリーチャーを徴兵できる。
レベル2クリーチャー	レベル2クリーチャーを徴兵できる。
レベル3クリーチャー	レベル3クリーチャーを徴兵できる。
レベル4クリーチャー	レベル4クリーチャーを徴兵できる。
レベル5クリーチャー	レベル5クリーチャーを徴兵できる。
レベル6クリーチャー	レベル6クリーチャーを徴兵できる。
レベル7クリーチャー	レベル7クリーチャーを徴兵できる。
レベル1クリーチャー(UP)	"アップグレードしたレベル1クリーチャーを
徴兵できる。"
レベル2クリーチャー(UP)	"アップグレードしたレベル2クリーチャーを
徴兵できる。"
レベル3クリーチャー(UP)	"アップグレードしたレベル3クリーチャーを
徴兵できる。"
レベル4クリーチャー(UP)	"アップグレードしたレベル4クリーチャーを
徴兵できる。"
レベル5クリーチャー(UP)	"アップグレードしたレベル5クリーチャーを
徴兵できる。"
レベル6クリーチャー(UP)	"アップグレードしたレベル6クリーチャーを
徴兵できる。"
レベル7クリーチャー(UP)	"アップグレードしたレベル7クリーチャーを
徴兵できる。"
