			Fight										Reward							Creatures		Artifacts				Analysis		
Adventure Object	Level	Chance			Upgrade							Combat Value (imp = 1)	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold			Treasure	Minor	Major	Relic	Overall Value	Reward / Difficulty	Difficult / Easiest
サイクロプスの集会所	1	30%	20	Cyclopes	50%	0	None	0	None	0	None	506	4	4	4	4	4	4	0	0	None	0	0	0	0	10000	20	100%
	2	30%	30	Cyclopes	50%	0	None	0	None	0	None	760	6	6	6	6	6	6	0	0	None	0	0	0	0	15000	20	150%
 	3	30%	40	Cyclopes	50%	0	None	0	None	0	None	1013	8	8	8	8	8	8	0	0	None	0	0	0	0	20000	20	200%
 	4	10%	50	Cyclopes	50%	0	None	0	None	0	None	1266	10	10	10	10	10	10	0	0	None	0	0	0	0	25000	20	250%
ドワーフの金蔵	1	30%	50	Dwarves	50%	0	None	0	None	0	None	194	0	0	0	0	2	0	2500	0	None	0	0	0	0	3500	18	100%
 	2	30%	75	Dwarves	50%	0	None	0	None	0	None	291	0	0	0	0	3	0	4000	0	None	0	0	0	0	5500	19	150%
 	3	30%	100	Dwarves	50%	0	None	0	None	0	None	388	0	0	0	0	5	0	5000	0	None	0	0	0	0	7500	19	200%
 	4	10%	150	Dwarves	50%	0	None	0	None	0	None	582	0	0	0	0	10	0	7500	0	None	0	0	0	0	12500	21	300%
グリフォンの牢獄	1	30%	40	Griffins	50%	0	None	0	None	0	None	281	0	0	0	0	0	0	0	2	Angels	0	0	0	0	6000	21	100%
 	2	30%	60	Griffins	50%	0	None	0	None	0	None	421	0	0	0	0	0	0	0	3	Angels	0	0	0	0	9000	21	150%
 	3	30%	80	Griffins	50%	0	None	0	None	0	None	562	0	0	0	0	0	0	0	4	Angels	0	0	0	0	12000	21	200%
 	4	10%	100	Griffins	50%	0	None	0	None	0	None	702	0	0	0	0	0	0	0	5	Angels	0	0	0	0	15000	21	250%
