Name		Cost															Damage			Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
パイクマン	パイクマン	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	20	50		0
ハルバーディア	ハルバーディア	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	20	30		0
アーチャー	アーチャー	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	16	30		SHOOTING_ARMY
マークスマン	マークスマン	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	16	25	射撃2回	const_two_attacks | SHOOTING_ARMY
グリフォン	グリフォン	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	12	25	反撃2回	DOUBLE_WIDE | FLYING_ARMY
ロイヤルグリフォン	ロイヤルグリフォン	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	12	20	反撃無制限	DOUBLE_WIDE|FLYING_ARMY
ソードマン	ソードマン	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	10	20		0
クルーセイダー	クルーセイダー	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	10	16	攻撃2回	const_two_attacks
モンク	モンク	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	8	16		SHOOTING_ARMY
ゼロト	ゼロト	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	8	12	白兵戦ペナルティーなし	SHOOTING_ARMY | const_no_melee_penalty
キャバリア	キャバリア	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	5	12	突撃ボーナス	DOUBLE_WIDE | const_jousting
チャンピオン	チャンピオン	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	5	10	突撃ボーナス	DOUBLE_WIDE | const_jousting
エンジェル	エンジェル	0	0	0	0	0	0	3000	3585	5019	1	0	200	12	20	20	50	50	0	4	10	デビルを憎んでいる	FLYING_ARMY | const_raises_morale | KING_2
アークエンジェル	アークエンジェル	0	0	0	0	0	0	5000	6033	8776	1	0	250	18	30	30	50	50	1	3	8	"士気＋1。デビルを憎んでいる
友軍を蘇らせることができる"	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																							
																							
																							
ケンタウロス	ケンタウロス	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	20	50		DOUBLE_WIDE
アーマーケンタウロス	アーマーケンタウロス	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	20	30		DOUBLE_WIDE
ドワーフ	ドワーフ	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	16	30	魔法抵抗力20％	0
バトルドワーフ	バトルドワーフ	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	16	25	魔法抵抗力40％	0
ウッドエルフ	ウッドエルフ	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	12	25		SHOOTING_ARMY
グランドエルフ	グランドエルフ	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	12	20	射撃2回	SHOOTING_ARMY | const_two_attacks
ペガサス	ペガサス	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	10	20	魔法の緩和	DOUBLE_WIDE | FLYING_ARMY
シルバーペガサス	シルバーペガサス	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	10	16	魔法の緩和	DOUBLE_WIDE | FLYING_ARMY
デンドロイドガード	デンドロイドガード	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	8	16	敵をその場に固定	0
デンドロイドナイト	デンドロイドナイト	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	8	12	敵をその場に固定	0
ユニコーン	ユニコーン	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	5	12	"魔法抵抗力のオーラ
目潰し攻撃"	DOUBLE_WIDE
ウォーユニコーン	ウォーユニコーン	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	5	10	"魔法抵抗力のオーラ
目潰し攻撃"	DOUBLE_WIDE
グリーンドラゴン	グリーンドラゴン	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	4	10	レベル1－3の呪文を無効化	DOUBLE_WIDE | FLYING_ARMY | KING_1
ゴールドドラゴン	ゴールドドラゴン	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	3	8	レベル1－4の呪文を無効化	DOUBLE_WIDE | FLYING_ARMY | KING_1
																							
																							
																							
グレムリン	グレムリン	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	20	50		0
マスターグレムリン	マスターグレムリン	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	20	30	長距離攻撃可能	SHOOTING_ARMY
ストーンガーゴイル	ストーンガーゴイル	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	16	30		FLYING_ARMY
ブラックガーゴイル	ブラックガーゴイル	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	16	25		FLYING_ARMY
ストーンゴーレム	ストーンゴーレム	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	12	25	呪文のダメージ50％減	0
アイアンゴーレム	アイアンゴーレム	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	12	20	呪文のダメージ75％減	0
メイジ	メイジ	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	10	20	"白兵戦のペナルティーなし
勇者の消費呪文ポイントを低減"	SHOOTING_ARMY | const_no_melee_penalty
アークメイジ	アークメイジ	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	10	16	"白兵戦のペナルティーなし
勇者の消費呪文ポイントを低減"	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
ジン	ジン	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	8	16	イフリートを憎んでいる	FLYING_ARMY
マスタージン	マスタージン	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	3	8	12	"呪文の使い手。効果はランダム
イフリートを憎んでいる"	FLYING_ARMY
ナーガ	ナーガ	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	5	12	敵に反撃されない	DOUBLE_WIDE
ナーガクイーン	ナーガクイーン	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	5	10	敵に反撃されない	DOUBLE_WIDE
ジャイアント	ジャイアント	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	4	10	精神系の呪文が効かない	KING_3
タイタン	タイタン	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	3	8	"精神系の呪文が効かない
ブラックドラゴンを憎んでいる"	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																							
																							
																							
インプ	インプ	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	20	50		0
ファミリア	ファミリア	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	20	30	魔力を吸収	0
ゴッグ	ゴッグ	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	16	30		SHOOTING_ARMY
マゴッグ	マゴッグ	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	16	25	ファイアーボールによる攻撃	SHOOTING_ARMY
ヘルハウンド	ヘルハウンド	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	12	25		DOUBLE_WIDE | FLYING_ARMY
ケルベロス	ケルベロス	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	5	0	12	20	"3つの頭による攻撃
敵は反撃できない"	DOUBLE_WIDE | FLYING_ARMY
デーモン	デーモン	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	10	20		0
ホーンドデーモン	ホーンドデーモン	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	10	16		0
ピットフィーンド	ピットフィーンド	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	8	16		0
ピットロード	ピットロード	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	1	8	12	友軍の戦死者からデーモンを召喚	0
イフリート	イフリート	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	5	12	"炎に耐性
ジンを憎んでいる"	0
イフリートスルタン	イフリートスルタン	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	5	10	"ファイアーシールド
炎に耐性。ジンを憎んでいる"	0
デビル	デビル	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	4	10	"敵の運－1。敵に反撃されない
エンジェルを憎んでいる"	FLYING_ARMY | KING_2
アークデビル	アークデビル	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	3	8	"敵の運－1。敵に反撃されない
エンジェルを憎んでいる"	FLYING_ARMY | KING_2
																							
																							
																							
スケルトン	スケルトン	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	20	50	アンデッド	IS_UNDEAD
スケルトンウォリアー	スケルトンウォリアー	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	20	30	アンデッド	IS_UNDEAD
ウォーキングデッド	ウォーキングデッド	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	16	30	アンデッド	IS_UNDEAD
ゾンビ	ゾンビ	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	16	25	"アンデッド
病気"	IS_UNDEAD
ワイト	ワイト	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	12	25	"アンデッド
再生"	FLYING_ARMY | IS_UNDEAD
