Heroes III Install Text	
Last Updated:	1999/1/13
Maintained By:	John Machin
	
String Identifier	String Text
LAUNCH_GAMEUP	&GameUpdateを実行しますか？
SOUND_FILES_DESC	このオプションを選択するとハードディスクドライブにサウンドファイルが追加されます。サウンドファイルを追加するとゲーム中の動作がやや速くなります。
SERIAL_STRING	\n\n\n\n\nRyan Hurth - Sega Heat\nNot for Distribution
INSTALLATION_COMPLETE	インストールが完了しました。
TITLE_MAIN	Heroes of Might and MagicR III
DIRECTX_DISK_SPACE_ERROR	ディスクにDirectX 6をインストールする十分なスペースがありません。ディスクに空きスペースをつくってください。
DIRECTX_FAILED	DirectXのインストールエラーです。
DIRECTX_INSTALL_NO_REBOOT	DirectXは更新済みもしくはインストール済みです。
ICON_GAME_UPDATE	ゲームの更新
ADD_DESKTOP_ICON_MSG	デスクトップにHeroes of Might and MagicR IIIへのショートカットを作成しますか？
MISSING_COMPONENT	オプションのプログラムファイルが選択されていません。継続するにはこのオプションを選択してください。OKをクリックして前の画面に戻り、プログラムファイルを選択します。
LAUNCH_HEROES3	&Heroes of Might and MagicR IIIを実行しますか？
END_SETUP_MSG	Heroes of Might and MagicR IIIをご利用いただきありがとうございます。
SOUND_FILES	サウンド
ERROR_COMPONENT	コンポーネント：
COMPANY_NAME	New World Computing
ACROBAT_WARNING	Adobe Acrobat Readerがインストールされていません。文書を開くにはAdobe Acrobat Readerをインストールする必要があります。
ICON_MAP_EDITOR	Heroes III Map Editor
DIRECTX_FAILED_MSG	DirectXのセットアップに失敗しました。Heroes of Might and MagicR III を正しく動作させるには DirectX が必要です。インストールをキャンセルする場合は YES を、継続する場合は NO を選択してください。
DIRECTX_OS_NOT_SUPPORTED	このバージョンの Windows ではDirectX をサポートしていません。
VIEW_README_MSG	readmeファイルを今すぐ読みますか？
ANIMATION	アニメーション
ACROBAT_MPLAYER_MSG	ここで Adobe Acrobat Reader をインストールすることができます。チュートリアルマニュアルを参照してください。下の中から選択してください。
ERROR_FILEGROUP	ファイルグループ：
ERROR_MOVEDATA	ファイルの移動中にエラーが発生しました：%d
PRODUCT_VERSION	1.1
ICON_UNINSTALL	Heroes IIIのアンインストール
PLACE_DESKTOP_SHORTCUT	&デスクトップにショートカットを作成する
LAUNCH_GAMEUP_MSG	GameUpdateを実行しますか？　すべての3DO関連製品が最新バージョンに更新されます。
COPY_FILES	ファイルをコピー中…
PROGRAM_FILES	プログラムファイル
ICON_HEROES3	Heroes III
VIEW_README	&Readmeファイルを読む
UNINST_KEY	Heroes of Might and MagicR III
END_SETUP_MSG2	セットアップを行うとHeroes of Might and MagicR IIIへのショートカットがデスクトップに作成されます。Heroesのreadmeファイルを開いてゲームの更新を実行してください。下から任意のオプションを選択してください。
TITLE_CAPTIONBAR	Heroes of Might and MagicR III のセットアップ
DIRECTX_MISSING_DIRECTORY	セットアップに必要なディレクトリが見つかりません。
DIRECTX_FILE_CORRUPTED	必要なソースファイルが壊れています。
PRODUCT_NAME16	Heroes of Might and Magic III
INSTALL_ACROBAT	&Adobe Acrobat Readerをインストールしますか？
FOLDER_NAME	Heroes of Might and MagicR III
ERROR_FILE	ファイル：
ERROR_VGARESOLUTION	このProgramを実行するには VGA 以上の解像度が必要です。
DIRECTX_INSTALL_SUCCESS	DirectX 6 がインストールされました。											
DIRECTX_MISSING_DX3	このシステムで使用しているWindows NTのバージョンには、DirectX 3のコンポーネントがインストールされていません。											
DIRECTX_MISSING_FILE	必要なソースファイルが見つかりませんでした。											
ADD_DESKTOP_ICON_TITLE	デスクトップにショートカットを作成しますか？											
LAUNCH_GAMEUP_TITLE	GameUpdateを実行しますか？											
PRODUCT_KEY	heroes3.exe											
UNINST_DISPLAY_NAME	Heroes of Might and MagicR III											
DIRECTX_MISSING_DLL	セットアップに必要なDLLファイルが見つかりませんでした。											
ERROR_UNINSTSETUP	アンインストーラのセットアップを初期化できませんでした。この製品をアンインストールできません。											
PRODUCT_NAME	Heroes of Might and MagicR III											
ICON_VIEW_README	readmeファイルを読む											
INSTALL_DIR	Heroes3											
DIRECTX_CANCEL_PRESSED	インストールが完了する前にキャンセルが選択されました。											
DIRECTX_CHECKING	DirectX 6がインストールされているかどうか確認中です。しばらくお待ちください…											
INSTALL_DIRECTX	DirectX 6.1がインストールされていないことが確認されました。Heroes of Might and MagicR IIIのマルチプレイヤー機能を利用するにはDirectX 6.1をインストールする必要があります。\n\nDirectX 6.1を今すぐインストールしますか？											
NT_SERVICE4	システムにWindows NT 4 Service Pack 4がインストールされているかどうか確認中です。Heroes of Might and Magic IIIを正しくインストールするには、DirectPlayコンポーネントをDirectX 6.1にインストールする必要があります。\n\n今すぐインストールしますか？											
NT_SERVICE4_NOT_INSTALLED	Windows NT 4 Service Pack 4がインストールされていないことが確認されました。Heroes of Might and Magic IIIのマルチプレイヤーを正しく機能させるには、Service Pack 4に更新してDirectX 6.1をインストールする必要があります。\n\nインストールを続けますか？											
DIRECTX_INSTALLED	DirectX 6.1がインストールされていることが確認されました。更新の必要もありません。DirectX 6.1をもう一度インストールしますか？											
DIRECTX_TITLE	DirectX											
WINDOWS_2000	Windows 2000を実行中です。DirectXの現在のバージョンをインストールするか、DirectXのインストールを行わずにセットアップを続けます (後者を推奨)。\n\nDirectXをインストールしますか？											
ICON_HEROES3_TUTORIAL	Heroes III　チュートリアルマニュアル											
												
Uninstall Strings												
	セーブしたゲームを削除してもよろしいですか？											
