Rollover Text	Right-Click Text																						
"Note: Do not change the headings in this file, they are used to detect problems"																							
Main Menu																							
	"{NEW GAME}

ゲームを最初から開始します。"																						
	"{LOAD GAME}

セーブしたゲームをプレイします。"																						
	"{HIGH SCORE}

ハイスコアを表示します。"																						
	"{CREDITS}

スタッフリストを表示します。"																						
	"{QUIT}

Windowsに戻ります。"																						
																							
New Game	New Game																						
	"{SINGLE SCENARIO}

シングルシナリオを開始します。"																						
	"{CAMPAIGN}

キャンペーンゲームを開始します。"																						
	"{MULTI-PLAYER}

マルチプレイヤーシングルシナリオを開始します。"																						
	"{TUTORIAL}

ヒーローズ3の基本操作を学ぶためのチュートリアル
シナリオを開始します。"																						
	"{BACK}

前の画面に戻ります。"																						
																							
Single Scenario Selection	Single Scenario Selection																						
																							
SCENARIO_BACKGROUND 																							
ADVANCED_BACKGROUND 																							
SCENARIO_NAME 	シナリオ名																						
SCENARIO_DESC 	シナリオのあらすじを表示します。																						
EASY 	"{ＥＡＳＹ}

プレイヤーに有利な条件でスタートします。コンピュ
ータは最低限の力しか発揮しません。"																						
NORMAL 	"{ＮＯＲＭＡＬ}

プレイヤーにやや有利な条件でスタートします。コン
ピュータは適度に力を発揮します。"																						
HARD 	"{ＨＡＲＤ}

プレイヤーとコンピュータが同じ条件でスタートしま
す。コンピュータは最大限の力を発揮してきます。"																						
EXPERT 	"{ＥＸＰＥＲＴ}

プレイヤーに不利な条件でスタートします。コンピュ
ータは最大限の力を発揮してきます。"																						
IMPOSSIBLE 	"{ＩＭＰＯＳＳＩＢＬＥ}

プレイヤーは何も資源を持っていない状態からスター
トします。コンピュータは最大限の力を発揮してきます。"																						
ALLY_FLAG1 	自分の色です。																						
ALLY_FLAG2 	この色のプレイヤーは味方です。																						
ALLY_FLAG3 	この色のプレイヤーは味方です。																						
ALLY_FLAG4 	この色のプレイヤーは味方です。																						
ALLY_FLAG5 	この色のプレイヤーは味方です。																						
ALLY_FLAG6 	この色のプレイヤーは味方です。		
ALLY_FLAG7 	この色のプレイヤーは味方です。		
ALLY_FLAG8 	この色のプレイヤーは味方です。		
ENEMY_FLAG1 	この色のプレイヤーは敵です。		
ENEMY_FLAG2 	この色のプレイヤーは敵です。		
ENEMY_FLAG3 	この色のプレイヤーは敵です。		
ENEMY_FLAG4 	この色のプレイヤーは敵です。		
ENEMY_FLAG5 	この色のプレイヤーは敵です。		
ENEMY_FLAG6 	この色のプレイヤーは敵です。		
ENEMY_FLAG7 	この色のプレイヤーは敵です。		
ENEMY_FLAG8 	この色のプレイヤーは敵です。		
SCENARIO_OPTIONS 	シナリオリストを表示または隠します。		
ADVANCED_OPTIONS 	上級オプションを表示または隠します。		
CHAT_DESC 	シナリオ詳細画面とチャット画面を切り換えます。		
MAP_DIFFICULTY 	"プレイヤーの難易度を＜ＥＡＳＹ＞＜ＮＯＲＭＡＬ＞
＜ＨＡＲＤ＞＜ＥＸＰＡＲＴ＞＜ＩＭＰＯＳＳＩＢＬ
Ｅ＞から選べます。"		
RATING 	"マップおよびプレイヤーの難易度設定を基にした全体
的な難易度を表示します。"		
MAP_SIZE 	シナリオの全体的な難易度を表します。		
VICTORY_CONDITION 	このシナリオの勝利条件です。		
LOSS_CONDITION 	このシナリオの敗北条件です。		
SMALL_FILTER 	Ｓマップをすべて表示します。		
MEDIUM_FILTER 	Ｍマップをすべて表示します。		
LARGE_FILTER 	Ｌマップをすべて表示します。		
EXTRALARGE_FILTER 	ＸＬマップをすべて表示します。		
ALL_FILTER 	すべてのマップを表示します。		
SCENARIO_NAME_1 	SCENARIO_NAME_1 		
SCENARIO_NAME_2 	SCENARIO_NAME_2 		
SCENARIO_NAME_3 	SCENARIO_NAME_3 		
SCENARIO_NAME_4 	SCENARIO_NAME_4 		
SCENARIO_NAME_5 	SCENARIO_NAME_5 		
SCENARIO_NAME_6 	SCENARIO_NAME_6 		
SCENARIO_NAME_7 	SCENARIO_NAME_7 		
SCENARIO_NAME_8 	SCENARIO_NAME_8 		
SCENARIO_NAME_9 	SCENARIO_NAME_9 
SCENARIO_NAME_10 	SCENARIO_NAME_10 
SCENARIO_NAME_11 	SCENARIO_NAME_11 
SCENARIO_NAME_12 	SCENARIO_NAME_12 
SCENARIO_NAME_13 	SCENARIO_NAME_13 
SCENARIO_NAME_14 	SCENARIO_NAME_14 
SCENARIO_NAME_15 	SCENARIO_NAME_15 
SCENARIO_NAME_16 	SCENARIO_NAME_16 
SCENARIO_NAME_17 	SCENARIO_NAME_17 
SCENARIO_NAME_18 	SCENARIO_NAME_18 
ENTRY_SCENARIO_NAME_1 	ENTRY_SCENARIO_NAME_1 
ENTRY_SCENARIO_NAME_2 	ENTRY_SCENARIO_NAME_2 
ENTRY_SCENARIO_NAME_3 	ENTRY_SCENARIO_NAME_3 
ENTRY_SCENARIO_NAME_4 	ENTRY_SCENARIO_NAME_4 
ENTRY_SCENARIO_NAME_5 	ENTRY_SCENARIO_NAME_5 
ENTRY_SCENARIO_NAME_6 	ENTRY_SCENARIO_NAME_6 
ENTRY_SCENARIO_NAME_7 	ENTRY_SCENARIO_NAME_7 
ENTRY_SCENARIO_NAME_8 	ENTRY_SCENARIO_NAME_8 
ENTRY_SCENARIO_NAME_9 	ENTRY_SCENARIO_NAME_9 
