	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
オーリン	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
ヴァレスカ	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
エドリック	10	20	Pikeman	2	3	Griffin	2	3	Griffin
シルヴィア	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
ハート卿	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
ソーシャ	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
クリスチャン	10	20	Pikeman	1	1	Ballista	2	3	Griffin
ティリス	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
ライオン	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
アデラ	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
クスバート	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
ハマーン	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
イングハム	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
サーニャ	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
ロイニス	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
ケイトリン	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
メフェイラ	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
ユーフレティン	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
ジェノヴァ	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
ライランド	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
ソルグリム	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
アイヴォール	12	24	Centaur	3	6	WoodElf	3	6	WoodElf
クランシー	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
カーレ	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
コロニウス	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
ウーランド	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
エレシャール	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
ララ	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
マルコム	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
メロディア	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
アラガール	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
エイリス	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
ピケドラム	3	5	StoneGargoyle	3	5	StoneGargoyle	3	5	StoneGargoyle
ゼイン	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
ジョセフィン	50	75	ApprenticeGremlin	2	2	IronGolem	2	3	IronGolem
ニーラ	50	75	ApprenticeGremlin	4	4	StoneGargoyle	2	3	IronGolem
トロサー	50	75	ApprenticeGremlin	1	1	Ballista	2	3	IronGolem
ファフナー	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
リサ	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
イオナ	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
アストラル	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
ヘイロン	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
セレナ	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
ダレミス	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
テオドロス	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
ソルマー	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
カイラ	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
エイーヌ	50	75	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
フィオナ	15	25	Imp	3	4	HellHound	3	4	HellHound
ラシュカ	15	25	Imp	4	7	Gog	3	4	HellHound
マリウス	15	25	Imp	4	7	Gog	3	4	HellHound
イグナチウス	15	25	Imp	15	25	Imp	15	25	Imp
オクタヴィア	15	25	Imp	4	7	Gog	3	4	HellHound
カルフ	4	7	Gog	4	7	Gog	4	7	Gog
パイア	15	25	Imp	1	1	Ballista	3	4	HellHound
ニムス	15	25	Imp	4	7	Gog	3	4	HellHound
エイデン	15	25	Imp	4	7	Gog	3	4	HellHound
ザイロン	15	25	Imp	4	7	Gog	3	4	HellHound
アクスシス	15	25	Imp	4	7	Gog	3	4	HellHound
オレマ	15	25	Imp	4	7	Gog	3	4	HellHound
カリド	15	25	Imp	4	7	Gog	3	4	HellHound
アッシュ	15	25	Imp	4	7	Gog	3	4	HellHound
ザイダール	15	25	Imp	4	7	Gog	3	4	HellHound
ザルファクス	15	25	Imp	4	7	Gog	3	4	HellHound
ストレイカー	4	6	Zombie	4	6	Zombie	4	6	Zombie
ヴォキアル	20	30	Skeleton	4	6	Zombie	4	6	Wight
モーンダー	20	30	Skeleton	4	6	Zombie	4	6	Wight
カルナ	20	30	Skeleton	4	6	Wight	4	6	Wight
タミーカ	20	30	Skeleton	4	6	Zombie	4	6	Wight
アイズラ	20	30	Skeleton	4	6	Zombie	4	6	Wight
クラヴィウス	20	30	Skeleton	4	6	Zombie	4	6	Wight
ガルスラン	20	30	Skeleton	20	30	Skeleton	20	30	Skeleton
セプティエンナ	20	30	Skeleton	4	6	Zombie	4	6	Wight
エイスリン	20	30	Skeleton	4	6	Zombie	4	6	Wight
サンドロ	20	30	Skeleton	4	6	Zombie	4	6	Wight
ニンバス	20	30	Skeleton	4	6	Zombie	4	6	Wight
ザント	20	30	Skeleton	4	6	Zombie	4	6	Wight
ザクシー	20	30	Skeleton	4	6	Zombie	4	6	Wight
ヴィドミナ	20	30	Skeleton	4	6	Zombie	4	6	Wight
ナガッシュ	20	30	Skeleton	4	6	Zombie	4	6	Wight
ローレライ	4	6	Harpy	4	6	Harpy	4	6	Harpy
アーラック	30	40	Troglodyte	1	1	Ballista	3	4	Beholder
デイス	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
アジット	30	40	Troglodyte	3	4	Beholder	3	4	Beholder
デイマコン	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
グンナル	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
シンカ	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
シャクティ	30	40	Troglodyte	30	40	Troglodyte	30	40	Troglodyte
アラマール	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
ジェイガー	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
マレキス	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
ジェッダイト	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
ジーオン	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
ディーマー	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
セフィンロス	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
ダークストーン	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
ヨグ	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
ガーニソン	15	25	Goblin	1	1	Ballista	4	6	Orc
ジャバルカス	15	25	Goblin	4	6	Orc	4	6	Orc
シヴァ	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
グレッティン	15	25	Goblin	15	25	Goblin	15	25	Goblin
クレリオン	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
クラグハック	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
ティラゾール	5	7	GoblinWolfRider	5	7	GoblinWolfRider	5	7	GoblinWolfRider
ガード	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
ヴェイ	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
デッサ	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
テレク	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
ズビン	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
グンドゥラ	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
オリス	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
ザウルグ	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
ブロン	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
ドラコン	10	20	Gnoll	10	20	Gnoll	10	20	Gnoll
ウィスタン	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman
テイザー	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
アーキン	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
コーバック	10	20	Gnoll	2	4	SerpentFly	2	4	DragonFly
ガーウルフ	10	20	Gnoll	1	1	Ballista	2	4	SerpentFly
ブログヒルド	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
マーランダ	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
ロシック	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
ヴォイ	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
ヴァルディッシュ	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
メリスト	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
スティグ	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
アンドラ	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
ティヴァ	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
