			School				Cost				Effect					% Chance to gain								AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	"Attributes (reference only, do not change)"
																																
Adventure Spells																																
																																
サモンボート	サモンボート	1	 	x	 	 	8	7	7	7	0	50	50	75	100	6	6	6	6	6	6	6	6	10	10	20	20	"{「サモンボート」}

すでに存在してる自軍の無人の船を、世界のどこかか
ら呼び寄せる。
成功確率は50％。"	"{「サモンボート」修得者レベル}

すでに存在してる自軍の無人の船を、世界のどこかか
ら呼び寄せる。
成功確率は50％。"	"{「サモンボート」熟練者レベル}

すでに存在してる自軍の無人の船を、世界のどこかか
ら呼び寄せる。
船が存在しない場合は新たに生み出す。
成功確率は75％。"	"{「サモンボート」達人レベル}

すでに存在してる自軍の無人の船を、世界のどこかか
ら呼び寄せる。
船が存在しない場合は新たに生み出す。"	 ADV_SPELL
デストロイボート	デストロイボート	2	 	x	 	 	8	6	6	6	0	50	50	75	100	8	6	4	4	10	4	6	10	1	1	1	1	"{「デストロイボート」}

自分の船を破壊する。この効果は永続するので、使用
には注意を要する。
成功確率は50％。"	"{「デストロイボート」修得者レベル}

自分の船を破壊する。この効果は永続するので、使用
には注意を要する。
成功確率は50％。"	"{「デストロイボート」熟練者レベル}

自分の船を破壊する。この効果は永続するので、使用
には注意を要する。
成功確率は75％。"	"{「デストロイボート」達人レベル}

自分の船を破壊する。この効果は永続するので、使用
には注意を要する。"	 ADV_SPELL
ビジョン	ビジョン	2	x	x	x	x	4	2	2	2	0	1	1	2	3	6	6	6	6	6	6	6	6	1	1	1	1	"{「ビジョン」}

敵の軍勢、勇者、守備隊の大まかな強さがわかる。"	"{「ビジョン」修得者レベル}

敵の軍勢、勇者、守備隊の大まかな強さがわかる。ま
た、近くにいる「さまよえるクリーチャー」の正確な
数と軍勢への参加の意思の有無も判明する。"	"{「ビジョン」熟練者レベル}

敵の軍勢、勇者、守備隊の大まかな強さがわかる。ま
た、近くにいる「さまよえるクリーチャー」の正確な
数と軍勢への参加の意思の有無も判明する。さらに、
敵の勇者が近くにいる場合は、自国の勇者の場合と同
じように、その勇者の基本技能値とクリーチャーの種
類および数が表示される。"	"{「ビジョン」達人レベル}

「さまよえるクリーチャー」の正確な数と軍勢への参
加の意思の有無が判明する。さらに、近くにいる敵の
勇者の基本技能値とクリーチャーの種類および数が、
自国の勇者の場合と同じように表示される。さらに、
近くにある街のデータと守備隊を構成しているクリー
チャーの種類と数もわかる。"	 ADV_SPELL
ビューアース	ビューアース	1	x				2	1	1	1	0	0	0	0	0	6	10	8	8	10	10	6	8	1	1	1	1	"{「ビューアース」}

資源の在り処が1つ残らず判明する。"	"{「ビューアース」修得者レベル}

資源の在り処が1つ残らず判明する。"	"{「ビューアース」熟練者レベル}

資源の在り処と鉱山の位置が1つ残らず判明する。"	"{「ビューアース」達人レベル}

資源の在り処と鉱山の位置が1つ残らず判明し、地形
も完全に明らかになる。"	 ADV_SPELL
フェイク	フェイク	2	 	 	 	x	4	2	2	2	0	0	0	0	0	8	6	8	6	8	4	4	6	1	1	1	1	"{「フェイク」}

配下の勇者を調べようとする敵に偽の情報を与える。"	"{「フェイク」修得者レベル}

この呪文を使っている勇者を調べようとすると、敵に
は全ての部隊が最強のクリーチャーで構成されている
ように見える。ただし、各部隊のクリーチャー数は変
わらない。"	"{「フェイク」熟練者レベル}

この呪文を使っている勇者を調べようとすると、敵に
は全ての部隊が最強のクリーチャーで構成されている
ように見える。なお、各部隊のクリーチャー数はゼロ
と表示される。"	"{「フェイク」達人レベル}

この呪文を使っている勇者を調べようとすると、敵に
は全ての部隊が最強のクリーチャーで構成されている
ように見える。なお、各部隊のクリーチャー数はゼロ
と表示される。"	 ADV_SPELL
ビューエアー	ビューエアー	1				x	2	1	1	1	0	0	0	0	0	6	6	10	6	8	6	4	6	1	1	1	1	"{「ビューエアー」}

まだ誰の物にもなっていないアーティファクトの在り
処が判明する。"	"{「ビューエアー」修得者レベル}

まだ誰の物にもなっていないアーティファクトの在り
処が判明する。"	"{「ビューエアー」熟練者レベル}

まだ誰の物にもなっていないアーティファクトの在り
処に加え、敵の勇者の位置も判明する。"	"{「ビューエアー」達人レベル}

まだ誰の物にもなっていないアーティファクトの在り
処に加え、敵の勇者と街の位置も判明する。"	 ADV_SPELL
フライ	フライ	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	12	15	9	4	10	0	0	30	30	40	50	"{「フライ」}

移動力の一部を使って障害物を飛び越えることができ
る。ただし、ターンの終わりには着地しなければなら
ない。"	"{「フライ」修得者レベル}

移動力の一部を使って障害物を飛び越えることができ
る。ただし、ターンの終わりには着地しなければなら
ない。"	"{「フライ」熟練者レベル}

移動力の大部分を使って障害物を飛び越えることがで
きる。ただし、ターンの終わりには着地しなければな
らない。"	"{「フライ」達人レベル}

移動力の全てを使って障害物を飛び越えることができ
る。ただし、ターンの終わりには着地しなければなら
ない。"	 ADV_SPELL
ホバー	ホバー	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	4	4	4	6	0	0	15	15	20	25	"{「ホバー」}

移動力の一部を使って水上を移動することができる。
ただし、ターンの終わりには陸地にいなければならな
い。"	"{「ホバー」修得者レベル}

移動力の一部を使って水上を移動することができる。
ただし、ターンの終わりには陸地にいなければならな
い。"	"{「ホバー」熟練者レベル}

移動力の大部分を使って水の上を移動することができ
る。ただし、ターンの終わりには陸地にいなければな
らない。"	"{「ホバー」達人レベル}

移動力の全てを使って水上を移動することができる。
ただし、ターンの終わりには陸地にいなければならな
い。"	 ADV_SPELL
ディメンジョンドアー	ディメンジョンドアー	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	12	15	15	8	15	0	0	30	30	40	50	"{「ディメンジョンドアー」}

1日1回、アドベンチャーマップ上の何もないことが明
らかになっている場所に、勇者をテレポートさせるこ
とができる。"	"{「ディメンジョンドアー」修得者レベル}

1日2回、アドベンチャーマップ上の何もないことが明
らかになっている場所に、勇者をテレポートさせるこ
とができる。"	"{「ディメンジョンドアー」熟練者レベル}

1日3回、アドベンチャーマップ上の何もないことが明
らかになっている場所に、勇者をテレポートさせるこ
とができる。"	"{「ディメンジョンドアー」達人レベル}

1日4回、アドベンチャーマップ上の何もないことが明
らかになっている場所に、勇者をテレポートさせるこ
とができる。"	 ADV_SPELL
タウンポータル	タウンポータル	4	x	 	 	 	16	12	12	12	0	0	0	0	0	6	8	10	8	8	10	0	0	5	5	70	70	"{「タウンポータル」}

現在地より最も近くにある支配下の街に勇者をテレポ
ートさせる。ただし、その街に他の勇者がいてはなら
ない。"	"{「タウンポータル」修得者レベル}

現在地より最も近くにある支配下の街に勇者をテレポ
ートさせる。ただし、その街に他の勇者がいてはなら
ない。"	"{「タウンポータル」熟練者レベル}

支配下の街に勇者をテレポートさせる。ただし、その
街に他の勇者がいてはならない。"	"{「タウンポータル」達人レベル}

支配下の街に勇者をテレポートさせる。ただし、その
街に他の勇者がいてはならない。"	 ADV_SPELL
																																
Combat Spells																																
																																
