	Description		
Name	Basic	Advanced	Expert
行軍	"{「行軍」修得者レベル}

足場の悪い地形の移動ペナルティーが25％減る。"	"{「行軍」熟練者レベル}

足場の悪い地形の移動ペナルティーが50％減る。"	"{「行軍」達人レベル}

足場の悪い地形の移動ペナルティーが75％減る。"
弓術	"{「弓術」修得者レベル}

飛び道具による攻撃が可能なクリーチャーのダメージ
が10％増える。"	"{「弓術」熟練者レベル}

飛び道具による攻撃が可能なクリーチャーのダメージ
が25％増える。"	"{「弓術」達人レベル}

飛び道具による攻撃が可能なクリーチャーのダメージ
が50％増える。"
先導	"{「先導」修得者レベル}

陸上の移動ポイントが10％増える。"	"{「先導」熟練者レベル}

陸上の移動ポイントが20％増える。"	"{「先導」達人レベル}

陸上の移動ポイントが30％増える。"
斥候	"{「斥候」修得者レベル}

黒く覆われている部分を普通よりも1タイル遠くまで
見ることができる。"	"{「斥候」熟練者レベル}

黒く覆われている部分を普通よりも2タイル遠くまで
見ることができる。"	"{「斥候」達人レベル}

黒く覆われている部分を普通よりも3タイル遠くまで
見ることができる。"
交渉	"{「交渉」修得者レベル}

配下の軍勢よりも弱いクリーチャーたちと交渉するこ
とができる。また、降伏の代償が20％減る。"	"{「交渉」熟練者レベル}

配下の軍勢よりも弱いクリーチャーたちと交渉するこ
とができる。また、降伏の代償が40％減る。"	"{「交渉」達人レベル}

配下の軍勢よりも弱いクリーチャーたちと交渉するこ
とができる。また、降伏の代償が60％減る。"
ナビゲーション	"{「ナビゲーション」修得者レベル}

海上の移動ポイントが50％増える。"	"{「ナビゲーション」熟練者レベル}

海上の移動ポイントが2倍になる。"	"{「ナビゲーション」達人レベル}

海上の移動ポイントが150％増える。"
リーダーシップ	"{「リーダーシップ」修得者レベル}

配下の軍勢の士気が1つ上がる。"	"{「リーダーシップ」熟練者レベル}

配下の軍勢の士気が2つ上がる。"	"{「リーダーシップ」達人レベル}

配下の軍勢の士気が3つ上がる。"
学問	"{「学問」修得者レベル}

レベル3呪文を習得することができる。"	"{「学問」熟練者レベル}

レベル4呪文を習得することができる。"	"{「学問」達人レベル}

レベル5呪文を習得することができる。"
神秘学	"{「神秘学」修得者レベル}

呪文ポイントが1日に2ポイント回復する。"	"{「神秘学」熟練者レベル}

呪文ポイントが1日に3ポイント回復する。"	"{「神秘学」達人レベル}

呪文ポイントが1日に4ポイント回復する。"
